player,season,team,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z
Cristian Pavón,2018,Argentina,-0.42,-0.55,0.08,-0.24,-0.61,-0.72,-0.05,0.15,0.3,-0.79,-0.8,-0.45,-0.23,-0.38,-0.91,-0.58
Eduardo Salvio,2018,Argentina,-0.42,-0.5,-0.51,0.64,0.02,-0.46,-0.05,0.48,0.61,0.67,0.32,-0.45,0.21,-1.11,0.68,-0.03
Enzo Pérez,2018,Argentina,-0.42,0.11,-0.51,-0.69,0.27,-0.65,-0.36,-0.34,0.35,-0.22,-0.8,-0.45,-0.89,0.72,0.04,-0.66
Federico Fazio,2018,Argentina,-0.42,-0.59,-0.51,-0.69,-0.97,-0.91,-0.67,-0.84,-0.82,-0.79,-0.64,-0.45,0.21,-1.11,-0.59,-0.77
Franco Armani,2018,Argentina,-0.42,-0.59,-0.51,-0.8,-0.67,0.64,-0.67,-0.67,-0.82,-0.79,-0.64,-0.45,-0.89,-1.11,-0.91,-0.77
Gabriel Mercado,2018,Argentina,1.3,-0.3,0.08,-0.35,1.0,-0.2,-0.36,0.15,1.43,0.79,0.64,0.73,-0.01,1.81,0.68,-0.47
Gonzalo Higuaín,2018,Argentina,-0.42,0.25,-0.51,-0.02,-0.77,-1.1,-0.36,-0.67,-0.82,-0.79,-0.64,-0.45,-0.67,-0.38,-0.59,-0.31
Javier Mascherano,2018,Argentina,-0.42,-0.52,-0.51,-0.8,3.25,0.51,0.26,1.63,3.71,2.75,0.8,-0.45,-0.01,4.37,1.32,-0.31
Lionel Messi,2018,Argentina,1.3,3.08,0.66,1.3,1.17,0.32,6.76,2.12,2.15,-0.79,-0.8,-0.45,-0.89,0.35,4.49,4.55
Lucas Biglia,2018,Argentina,-0.42,-0.5,-0.51,-0.35,-0.58,-0.91,-0.67,-0.84,-0.11,-0.79,-0.8,-0.45,-0.45,-1.11,-0.59,-0.69
Marcos Acuña,2018,Argentina,-0.42,-0.55,0.08,-0.69,-0.83,-0.85,-0.36,-0.84,-0.31,-0.79,-0.48,0.73,-0.67,-0.74,0.04,-0.5
Marcos Rojo,2018,Argentina,1.3,-0.17,0.08,-0.02,0.87,0.19,-0.36,1.46,0.49,1.79,1.44,1.19,1.53,-0.01,-0.27,-0.44
Maximiliano Meza,2018,Argentina,-0.42,0.07,1.24,1.3,0.04,-0.78,0.57,1.3,0.25,-0.27,-0.48,-0.45,-0.67,-0.01,1.32,1.27
Nicolás Otamendi,2018,Argentina,-0.42,-0.28,-0.51,0.42,2.51,0.96,-0.67,3.76,2.9,3.48,2.88,2.37,3.95,-0.01,0.68,-0.47
Nicolás Tagliafico,2018,Argentina,-0.42,-0.37,-0.51,-0.02,1.5,0.51,-0.05,0.15,0.77,0.79,0.48,0.73,0.21,1.08,1.32,-0.55
Sergio Agüero,2018,Argentina,3.02,0.62,-0.51,1.52,-0.54,-0.97,0.26,-0.67,1.32,-0.27,-0.8,-0.45,-0.67,-1.11,-0.59,-0.28
Wilfredo Caballero,2018,Argentina,-0.42,-0.59,-0.51,-0.8,-0.75,-0.26,-0.67,-0.84,-0.82,-0.79,-0.48,-0.45,-0.89,-1.11,-0.91,-0.77
Ángel Di María,2018,Argentina,1.3,-0.19,1.24,0.53,-0.39,-0.59,0.26,0.97,-0.82,-0.12,-0.8,-0.45,-0.67,-0.74,1.32,0.8
Éver Banega,2018,Argentina,-0.42,-0.39,0.66,-0.35,1.37,0.9,0.88,1.79,2.94,0.55,-0.48,-0.45,-0.89,-0.01,0.04,1.4
Aaron Mooy,2018,Australia,-0.42,-0.27,7.26,-0.8,1.91,0.53,0.98,-0.18,-0.28,0.45,1.12,-0.45,-0.6,0.84,-0.49,3.09
Andrew Nabbout,2018,Australia,-0.42,-0.59,-0.51,-0.35,-1.0,-1.1,-0.26,-0.18,-0.82,-0.79,-0.8,-0.45,0.57,-0.62,-0.49,-0.66
Aziz Behich,2018,Australia,-0.42,-0.3,1.05,0.09,1.66,0.96,0.16,0.91,0.39,-0.07,0.26,-0.45,-0.89,0.84,-0.06,0.55
Daniel Arzani,2018,Australia,-0.42,-0.38,0.27,-0.35,-0.93,-1.02,-0.26,0.48,-0.82,-0.79,-0.8,0.32,-0.89,-0.62,-0.49,-0.08
